,id,name,season,number,type,airdate,airstamp,runtime,rating,summary,image,medium,original
0,869671,The Original,1,1,regular,2016-10-02,2016-10-03T01:00:00+00:00,68,{'average': 8},"A woman named Dolores is a free spirit in the Old West... and unaware that she's actually an android, programmed to entertain rich guests seeking to act out their fantasies in an idealized vision of the 1880s. However, the people in charge soon realize that their androids are acting in ways that they didn't anticipate.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/78/195475.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/78/195475.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/78/195475.jpg,https://static.tvmaze.com/uploads/images/original_untouched/78/195475.jpg
1,911201,Chestnut,1,2,regular,2016-10-09,2016-10-10T01:00:00+00:00,60,{'average': 7.7},"Bernard suspects that someone is sabotaging the hosts. Meanwhile, the Man continues his search for the deeper game, and Maeve finds herself in a world of hurt... literally.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/78/195436.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/78/195436.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/78/195436.jpg,https://static.tvmaze.com/uploads/images/original_untouched/78/195436.jpg
2,911204,The Stray,1,3,regular,2016-10-16,2016-10-17T01:00:00+00:00,60,{'average': 7.6},"Bernard continues to investigate Dolores' supposed malfunction, and realizes that he has something unexpected on his hands. Meanwhile, Robert talks about the early days of the park, and Teddy receives a new role and narrative.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/79/198183.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/79/198183.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/79/198183.jpg,https://static.tvmaze.com/uploads/images/original_untouched/79/198183.jpg
3,911205,Dissonance Theory,1,4,regular,2016-10-23,2016-10-24T01:00:00+00:00,60,{'average': 7.9},"While Dolores joins William and Logan on their adventure, the Man in Black continues his search for the entrance to the Maze and meets Armistice. Meanwhile, Robert reveals some of his true power to Theresa and advises her to stay out of his way.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/80/201367.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/80/201367.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/80/201367.jpg,https://static.tvmaze.com/uploads/images/original_untouched/80/201367.jpg
4,927174,Contrapasso,1,5,regular,2016-10-30,2016-10-31T01:00:00+00:00,60,{'average': 8},"Dolores takes the first step on her path of discovery by deciding to write a new story for herself... where she isn't the damsel. Meanwhile, Elise discovers the Woodcutter's secret, and Robert pays the Man a visit.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/81/204265.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/81/204265.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/81/204265.jpg,https://static.tvmaze.com/uploads/images/original_untouched/81/204265.jpg
5,932057,The Adversary,1,6,regular,2016-11-06,2016-11-07T02:00:00+00:00,60,{'average': 8},"While Maeve convinces Felix to show her ""upstairs,"" Teddy and the Man close in on the maze. Meanwhile, Bernard and Elsie close in on the identity of the person who is stealing secrets from the park, while Lee meets with a Delos executive director.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/82/207324.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/82/207324.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/82/207324.jpg,https://static.tvmaze.com/uploads/images/original_untouched/82/207324.jpg
6,938404,Trompe L'Oeil,1,7,regular,2016-11-13,2016-11-14T02:00:00+00:00,60,{'average': 8.6},"While William and Dolores travel to the unclaimed territories, Charlotte and Theresa make plans to force Robert out of the park using Clementine. Meanwhile, Maeve continues her plans to escape Westworld.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/83/209400.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/83/209400.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/83/209400.jpg,https://static.tvmaze.com/uploads/images/original_untouched/83/209400.jpg
7,943065,Trace Decay,1,8,regular,2016-11-20,2016-11-21T02:00:00+00:00,60,{'average': 7.9},"Bernard tries to cope with what he did under Robert's orders. Meanwhile, William and Dolores find a town, and Maeve remembers more of her past. Meanwhile, the Man reveals his past to Teddy.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/84/211554.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/84/211554.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/84/211554.jpg,https://static.tvmaze.com/uploads/images/original_untouched/84/211554.jpg
8,943066,The Well-Tempered Clavier,1,9,regular,2016-11-27,2016-11-28T02:00:00+00:00,60,{'average': 8.5},"Bernard forces Robert to take him back into his own memories, while the Man meets with Charlotte. Meanwhile, Dolores escapes the Confederado camp and William gives Logan new orders.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/85/213932.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/85/213932.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/85/213932.jpg,https://static.tvmaze.com/uploads/images/original_untouched/85/213932.jpg
9,943067,The Bicameral Mind,1,10,regular,2016-12-04,2016-12-05T02:00:00+00:00,90,{'average': 8.7},"Delores finds out the truth about William's fate. Meanwhile, Maeve organizes an escape plan, only to discover that someone else is pulling the strings. And Robert plays the final piece in his grand narrative.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/86/216453.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/86/216453.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/86/216453.jpg,https://static.tvmaze.com/uploads/images/original_untouched/86/216453.jpg
